name,board,variant,LED,flash_size
Heltec WiFi Kit 32(V3),heltec_wifi_kit_32_V3,heltec_wifi_kit_32_V3,35,[8MB]
Heltec WiFi LoRa 32,heltec_wifi_lora_32,heltec_wifi_lora_32,25,[4MB]
Heltec WiFi LoRa 32(V2),heltec_wifi_lora_32_V2,heltec_wifi_lora_32_V2,25,[8MB]
Heltec WiFi LoRa 32(V3),heltec_wifi_lora_32_V3,heltec_wifi_lora_32_V3,35,[8MB]
Heltec Wireless Bridge,heltec_wireless_bridge,heltec_wireless_bridge,25,[8MB]
Heltec Wireless Mini Shell,heltec_wireless_mini_shell,heltec_wireless_mini_shell,N/A,[4MB]
Heltec Wireless Paper,heltec_wireless_paper,heltec_wireless_paper,35,[8MB]
Heltec Wireless Shell (V3),heltec_wireless_shell_V3,heltec_wireless_shell_v3,35,[8MB]
Heltec Wireless Stick,heltec_wireless_stick,heltec_wireless_stick,25,[8MB]
Heltec Wireless Stick(V3),heltec_wireless_stick_V3,heltec_wireless_stick_v3,N/A,[8MB]
Heltec Wireless Stick Lite / Wireless Shell,heltec_wireless_stick_lite,heltec_wireless_stick_lite,25,[4MB]
Heltec Wireless Stick Lite(V3),heltec_wireless_stick_lite_V3,heltec_wireless_stick_lite_v3,35,[8MB]
Heltec Wireless Tracker,heltec_wireless_tracker,heltec_wireless_tracker,N/A,[8MB]
HONEYLemon,honeylemon,honeylemon,2,[4MB]
Hornbill ESP32 Dev,hornbill32dev,hornbill32dev,13,[4MB]
Hornbill ESP32 Minima,hornbill32minima,hornbill32minima,N/A,[4MB]
Huidu HD-WF2,huidu_hd_wf2,huidu_hd_wf2,N/A,[8MB]
Huidu HD-WF4,huidu_hd_wf4,huidu_hd_wf4,N/A,[8MB]
IMBRIOS LOGSENS_V1P1,imbrios-logsens-v1p1,imbrios-logsens-v1p1,33,[4MB]
IntoRobot Fig,intorobot-fig,intorobot-fig,4,[4MB]
IOXESP32,ioxesp32,ioxesp32,5,[4MB]
IOXESP32-C6,ioxesp32c6,ioxesp32c6,N/A,[4MB]
IOXESP32PS,ioxesp32ps,ioxesp32,5,[4MB]
ESP32-2432S028R CYD,jczn_2432s028r,jczn_2432s028r,N/A,[4MB]
KB32-FT,kb32,esp32,N/A,[4MB]
KITS ESP32 EDU,kits-edu,pico32,N/A,[4MB]
LilyGo T3-S3,lilygo_t3s3,N/A,N/A,[4MB]
LilyGo T-Display,lilygo_t_display,lilygo_t_display,N/A,[4MB]
LilyGo T-Display-S3,lilygo_t_display_s3,lilygo_t_display_s3,N/A,[16MB]
LilyGo T-ETH-Lite,lilygo_t_eth_lite,lilygo_t_eth_lite,N/A,[16MB]
Lion:Bit Dev Board,lionbit,lionbit,0,[4MB]
Lion:Bit S3 STEM Dev Board,lionbits3,lionbits3,0,[4MB]
WEMOS LOLIN32,lolin32,lolin32,5,[4MB]
WEMOS LOLIN32 Lite,lolin32-lite,lolin32-lite,22,[4MB]
LOLIN C3 Mini,lolin_c3_mini,lolin_c3_mini,N/A,[4MB]
LOLIN C3 Pico,lolin_c3_pico,lolin_c3_pico,N/A,[4MB]
LOLIN S2 Mini,lolin_s2_mini,lolin_s2_mini,15,[4MB]
LOLIN S2 PICO,lolin_s2_pico,lolin_s2_pico,10,[4MB]
LOLIN S3,lolin_s3,lolin_s3,38,[16MB]
LOLIN S3 Mini,lolin_s3_mini,lolin_s3_mini,47,[4MB]
LOLIN S3 Mini Pro,lolin_s3_mini_pro,lolin_s3_mini_pro,8,[4MB]
LOLIN S3 Pro,lolin_s3_pro,lolin_s3_pro,38,[16MB]
LoPy,lopy,lopy,N/A,[4MB]
LoPy4,lopy4,lopy4,N/A,[4MB]
M5Atom,m5stack_atom,m5stack_atom,N/A,[4MB]
M5AtomS3,m5stack_atoms3,m5stack_atoms3,N/A,[8MB]
M5Capsule,m5stack_capsule,m5stack_capsule,N/A,[8MB]
M5Cardputer,m5stack_cardputer,m5stack_cardputer,N/A,[8MB]
M5Core,m5stack_core,m5stack_core,N/A,[4MB]
M5Core2,m5stack_core2,m5stack_core2,N/A,[16MB]
M5CoreInk,m5stack_coreink,m5stack_coreink,N/A,[4MB]
M5CoreS3,m5stack_cores3,m5stack_cores3,N/A,[16MB]
M5Dial,m5stack_dial,m5stack_dial,N/A,[8MB]
M5DinMeter,m5stack_dinmeter,m5stack_dinmeter,N/A,[8MB]
M5Fire,m5stack_fire,m5stack_fire,N/A,[16MB]
M5NanoC6,m5stack_nanoc6,m5stack_nanoc6,7,[4MB]
M5Paper,m5stack_paper,m5stack_paper,N/A,[16MB]
M5PoECAM,m5stack_poe_cam,m5stack_poe_cam,N/A,[4MB]
M5StampC3,m5stack_stamp_c3,m5stack_stamp_c3,N/A,[4MB]
M5StampPico,m5stack_stamp_pico,m5stack_stamp_pico,N/A,[4MB]
M5StampS3,m5stack_stamp_s3,m5stack_stamp_s3,N/A,[8MB]
M5Station,m5stack_station,m5stack_station,N/A,[16MB]
M5StickC,m5stack_stickc,m5stack_stickc,N/A,[4MB]
M5StickCPlus,m5stack_stickc_plus,m5stack_stickc_plus,N/A,[4MB]
M5StickCPlus2,m5stack_stickc_plus2,m5stack_stickc_plus2,N/A,[8MB]
M5TimerCAM,m5stack_timer_cam,m5stack_timer_cam,2,[4MB]
M5Tough,m5stack_tough,m5stack_tough,N/A,[16MB]
M5UnitCAM,m5stack_unit_cam,m5stack_unit_cam,4,[4MB]
M5UnitCAMS3,m5stack_unit_cams3,m5stack_unit_cams3,N/A,[16MB]
Labplus mPython,mPython,mpython,N/A,[8MB]
MagicBit,magicbit,magicbit,16,[4MB]
MakerGO ESP32 C3 SuperMini,makergo_c3_supermini,makergo_c3_supermini,8,[4MB]
Metro ESP-32,metro_esp-32,metro_esp-32,2,[4MB]
MGBOT IOTIK 32A,mgbot-iotik32a,mgbot-iotik32a,4,[4MB]
MGBOT IOTIK 32B,mgbot-iotik32b,mgbot-iotik32b,18,[4MB]
MH ET LIVE ESP32DevKIT,mhetesp32devkit,mhetesp32devkit,2,[4MB]
MH ET LIVE ESP32MiniKit,mhetesp32minikit,mhetesp32minikit,2,[4MB]
microS2,micros2,micro_s2,21,[16MB]
Namino Arancio,namino_arancio,namino_arancio,N/A,[4MB]
Namino Bianco,namino_bianco,namino_bianco,N/A,[4MB]
Namino Rosso,namino_rosso,namino_rosso,N/A,[4MB]
Nano32,nano32,nano32,16,[4MB]
Arduino Nano ESP32,nano_nora,arduino_nano_nora,N/A,[16MB]
Arduino on Nano ESP32,nano_nora.debug_config.nano_nora.cortex-debug.custom,N/A,N/A,[N/A]
Nebula S3,nebulas3,Nebula_S3,N/A,[4MB]
u-blox NINA-W10 series (ESP32),nina_w10,nina_w10,N/A,[2MB]
Node32s,node32s,node32s,2,[4MB]
NodeMCU-32S,nodemcu-32s,nodemcu-32s,2,[4MB]
Nologo ESP32C3 Super Mini,nologo_esp32c3_super_mini,nologo_esp32c3_super_mini,8,[4MB]
Nologo ESP32S3 Pico,nologo_esp32s3_pico,nologo_esp32s3_pico,21,[8MB]
u-blox NORA-W10 series (ESP32-S3),nora_w10,nora_w10,N/A,[4MB]
ODROID ESP32,odroid_esp32,odroid_esp32,2,[16MB]
Onehorse ESP32 Dev Module,onehorse32dev,onehorse32dev,5,[4MB]
OROCA EduBot,oroca_edubot,oroca_edubot,13,[4MB]
ESP32 PICO-D4,pico32,pico32,N/A,[4MB]
Piranha ESP-32,piranha_esp-32,piranha_esp-32,2,[4MB]
Dongsen Tech Pocket 32,pocket_32,pocket_32,16,[4MB]
Noduino Quantum,quantum,quantum,N/A,[16MB]
RedPill(+) ESP32-S3,redpill_esp32s3,redpill_esp32s3,N/A,[8MB]
RoboHeart Hercules,roboheart_hercules,roboheart_hercules,N/A,[4MB]
senseBox MCU-S2 ESP32-S2,sensebox_mcu_esp32s2,sensebox_mcu_esp32s2,N/A,[4MB]
Senses's WEIZEN,sensesiot_weizen,esp32,N/A,[4MB]
Sonoff DUALR3,sonoff_dualr3,esp32,N/A,[4MB]
SparkFun ESP32 IoT RedBoard,sparkfun_esp32_iot_redboard,sparkfun_esp32_iot_redboard,18,[4MB]
SparkFun ESP32-C6 Qwiic Pocket,sparkfun_esp32c6_qwiic_pocket,sparkfun_esp32c6_qwiic_pocket,23,[4MB]
SparkFun ESP32-C6 Thing Plus,sparkfun_esp32c6_thing_plus,sparkfun_esp32c6_thing_plus,N/A,[4MB]
SparkFun ESP32-S2 Thing Plus,sparkfun_esp32s2_thing_plus,esp32s2thing_plus,13,[4MB]
SparkFun ESP32-S3 Thing Plus,sparkfun_esp32s3_thing_plus,sparkfun_esp32s3_thing_plus,N/A,[4MB]
SparkFun LoRa Gateway 1-Channel,sparkfun_lora_gateway_1-channel,sparkfun_lora_gateway_1-channel,17,[4MB]
SparkFun Pro Micro - ESP32C3,sparkfun_pro_micro_esp32c3,sparkfun_pro_micro_esp32c3,10,[4MB]
Adafruit Sparkle Motion (ESP32),sparklemotion,adafruit_sparklemotion_esp32,4,[4MB]
Adafruit Sparkle Motion Mini (ESP32),sparklemotionmini,adafruit_sparklemotionmini_esp32,12,[4MB]
T-Beam,t-beam,tbeam,14,[4MB]
TAMC Termod S3,tamc_termod_s3,tamc_termod_s3,N/A,[8MB]
LilyGo-T-LoRa-Pager,tlora_pager,lilygo_tlora_pager,N/A,[16MB]
TTGO LoRa32-OLED,ttgo-lora32,N/A,N/A,[4MB]
TTGO T-OI PLUS RISC-V ESP32-C3,ttgo-t-oi-plus,ttgo-t-oi-plus,3,[4MB]
TTGO T1,ttgo-t1,ttgo-t1,22,[4MB]
TTGO T7 V1.3 Mini32,ttgo-t7-v13-mini32,ttgo-t7-v13-mini32,22,[4MB]
TTGO T7 V1.4 Mini32,ttgo-t7-v14-mini32,ttgo-t7-v14-mini32,19,[4MB]
Turta IoT Node,turta_iot_node,pico32,N/A,[4MB]
TTGO T-Watch,twatch,twatch,N/A,[16MB]
LilyGo T-Watch-Ultra,twatch_ultra,lilygo_twatch_ultra,N/A,[16MB]
LilyGo T-Watch-S3,twatchs3,lilygo_twatch_s3,N/A,[16MB]
uPesy EDU ESP32,uPesy_edu_esp32,uPesy_edu_esp32,2,[4MB]
uPesy ESP32 Wroom DevKit,uPesy_wroom,uPesy_esp32_wroom_devkit,2,[4MB]
uPesy ESP32 Wrover DevKit,uPesy_wrover,uPesy_esp32_wrover_devkit,2,[4MB]
UM BLING,um_bling,um_bling,N/A,[8MB]
UM FeatherS2,um_feathers2,um_feathers2,N/A,[16MB]
UM FeatherS2 Neo,um_feathers2neo,um_feathers2neo,N/A,[4MB]
UM FeatherS3,um_feathers3,um_feathers3,N/A,[16MB]
UM FeatherS3 Neo,um_feathers3neo,um_feathers3neo,N/A,[8MB]
UM NanoS3,um_nanos3,um_nanos3,N/A,[8MB]
UM OMGS3,um_omgs3,um_omgs3,N/A,[8MB]
UM PROS3,um_pros3,um_pros3,N/A,[16MB]
UM TinyC6,um_tinyc6,um_tinyc6,N/A,[4MB]
UM TinyPICO,um_tinypico,um_tinypico,N/A,[4MB]
UM TinyS2,um_tinys2,um_tinys2,N/A,[4MB]
UM TinyS3,um_tinys3,um_tinys3,N/A,[8MB]
unPhone 7,unphone7,feather_esp32,13,[4MB]
unPhone 8,unphone8,unphone8,N/A,[8MB]
unPhone 9,unphone9,unphone9,N/A,[8MB]
uPesy ESP32C3 Basic,upesy_esp32c3_basic,uPesy_esp32c3_basic,N/A,[4MB]
uPesy ESP32C3 Mini,upesy_esp32c3_mini,uPesy_esp32c3_mini,N/A,[4MB]
uPesy ESP32S3 Basic,upesy_esp32s3_basic,uPesy_esp32s3_basic,2,[16MB]
VintLabs ESP32 Devkit,vintlabs-devkit-v1,vintlabsdevkitv1,2,[4MB]
ViraLink Gate32-0.1,viralink32g01,ViraLink-G0.1,5,[4MB]
ViraLink Gate32-1.1,viralink32g11,ViraLink-G1.1,N/A,[4MB]
DPTechnics Walter,walter,walter,N/A,[16MB]
Watchy,watchy,watchy,N/A,[4MB]
